id,created_at,updated_at,slug,translation,sana_id,sana_name
1,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""نامشخص""}",1,نامشخص
2,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""مسافر اصلی""}",2,مسافر اصلی
3,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""پدر""}",3,پدر
4,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""مادر""}",4,مادر
5,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""برادر""}",5,برادر
6,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""خواهر""}",6,خواهر
7,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""همسر""}",7,همسر
8,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""خاله""}",8,خاله
9,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""فرزند""}",9,فرزند
10,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""پسر عمه""}",10,پسر عمه
11,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""عمه""}",11,عمه
12,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""سرپرست""}",12,سرپرست
13,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""عمو""}",13,عمو
14,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""خواهر همسر""}",14,خواهر همسر
15,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""برادر همسر""}",15,برادر همسر
16,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""دختر عمو""}",16,دختر عمو
17,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""دختر خاله""}",17,دختر خاله
18,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""زن عمو""}",18,زن عمو
19,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""دائي""}",19,دائي
20,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""دوست""}",20,دوست
21,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""پدربزرگ""}",21,پدربزرگ
22,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""پسر خاله""}",22,پسر خاله
23,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""پسر دائی""}",23,پسر دائی
24,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""پسر عمو""}",24,پسر عمو
25,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""دختر دائی""}",25,دختر دائی
26,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""دختر عمه""}",26,دختر عمه
27,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""قیم""}",27,قیم
28,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""مادر بزرگ""}",28,مادر بزرگ
29,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""همکار""}",29,همکار
30,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""همسر موقت""}",30,همسر موقت
31,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""عروس""}",31,عروس
32,2026-06-12 23:33:08.986948+00,2026-06-12 23:33:08.986948+00,,"{""fa"":""مادر زن""}",32,مادر زن
