id,created_at,updated_at,slug,translation,sana_id,sana_name
1,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""نامشخص""}",100000,نامشخص
2,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آرژانتين""}",100001,آرژانتين
3,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آروبا""}",100002,آروبا
4,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آفريقاي جنوبي""}",100003,آفريقاي جنوبي
5,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آفريقاي مركزي""}",100004,آفريقاي مركزي
6,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آلباني""}",100005,آلباني
7,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آلمان""}",100006,آلمان
8,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آنتيل هلند""}",100007,آنتيل هلند
9,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آندورا""}",100008,آندورا
10,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آنگوئيلا""}",100009,آنگوئيلا
11,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""آنگولا""}",100010,آنگولا
12,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اتريش""}",100011,اتريش
13,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اتيوپي""}",100012,اتيوپي
14,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اردن""}",100013,اردن
15,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""ارمنستان""}",100014,ارمنستان
16,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اروگوئه""}",100015,اروگوئه
17,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اريتره""}",100016,اريتره
18,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""ازبكستان""}",100017,ازبكستان
19,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اسانسيون""}",100018,اسانسيون
20,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اسپانيا""}",100019,اسپانيا
21,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""استراليا""}",100020,استراليا
22,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""استوني""}",100021,استوني
23,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اسلواكي""}",100022,اسلواكي
24,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""افغانستان""}",100023,افغانستان
25,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اوكراين""}",100028,اوكراين
26,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اكوادور""}",100029,اكوادور
27,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""الجزاير""}",100030,الجزاير
28,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""السالوادور""}",100031,السالوادور
29,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""امارات متحده عربي""}",100032,امارات متحده عربي
30,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اندونزي""}",100033,اندونزي
31,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""انگلستان""}",100034,انگلستان
32,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""اوگاندا""}",100035,اوگاندا
33,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""ايالات متحده آمريكا""}",100036,ايالات متحده آمريكا
34,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""ايتاليا""}",100037,ايتاليا
35,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""ايران""}",100038,ايران
36,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""ايرلند""}",100039,ايرلند
37,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""ايسلند""}",100040,ايسلند
38,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""باهاما""}",100041,باهاما
39,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""بحرين""}",100042,بحرين
40,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""برزيل""}",100043,برزيل
41,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""برمودا""}",100044,برمودا
42,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""برمه""}",100045,برمه
43,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""برونئي""}",100046,برونئي
44,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""بروندي""}",100047,بروندي
45,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""بليز""}",100048,بليز
46,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""بلژيك""}",100049,بلژيك
47,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""بلغارستان""}",100050,بلغارستان
48,2026-06-12 23:33:09.117389+00,2026-06-12 23:33:09.117389+00,,"{""fa"":""بنگلادش""}",100051,بنگلادش
