id,created_at,updated_at,slug,translation,sana_id,sana_name
1,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""نامشخص""}",1,نامشخص
2,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""پزشك""}",2,پزشك
3,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""مهندس""}",3,مهندس
4,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""كارمند""}",4,كارمند
5,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""بيكار""}",5,بيكار
6,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""خانه دار""}",6,خانه دار
7,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""محصل""}",7,محصل
8,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""دانشجو""}",8,دانشجو
9,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""كارگر""}",9,كارگر
10,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""استاد""}",10,استاد
11,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""دبير""}",11,دبير
12,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""معلم""}",12,معلم
13,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""مربي""}",13,مربي
14,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""نظامي""}",14,نظامي
15,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""بازنشسته""}",15,بازنشسته
16,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""بازخريد""}",16,بازخريد
17,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""آزاد""}",17,آزاد
18,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""سرباز""}",18,سرباز
19,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""كشاورز""}",19,كشاورز
20,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""راننده""}",20,راننده
21,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""طلبه""}",21,طلبه
22,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""بازنشسته نظامي""}",22,بازنشسته نظامي
23,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""خلبان""}",23,خلبان
24,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""كمك خلبان""}",24,كمك خلبان
25,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""كادر پرواز""}",25,كادر پرواز
26,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""ارتشي""}",26,ارتشي
27,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""سپاهي""}",27,سپاهي
28,2026-06-12 23:33:10.156629+00,2026-06-12 23:33:10.156629+00,,"{""fa"":""نيروي انتظامي""}",28,نيروي انتظامي
