id,created_at,updated_at,slug,translation,sana_id,sana_name,is_iran
1,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""ايران""}",1,ايران,1
2,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""تهران""}",51,تهران,1
3,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""خراسان رضوي""}",52,خراسان رضوي,1
4,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""اصفهان""}",53,اصفهان,1
5,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""آذربايجان شرقي""}",54,آذربايجان شرقي,1
6,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""فارس""}",55,فارس,1
7,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""آذربايجان غربي""}",56,آذربايجان غربي,1
8,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""خوزستان""}",57,خوزستان,1
9,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""كرمانشاه""}",58,كرمانشاه,1
10,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""سيستان و بلوچستان""}",59,سيستان و بلوچستان,1
11,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""شهرستانهاي استان تهران""}",60,شهرستانهاي استان تهران,1
12,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""كردستان""}",61,كردستان,1
13,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""هرمزگان""}",62,هرمزگان,1
14,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""مازندران""}",63,مازندران,1
15,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""قم""}",64,قم,1
16,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""كرمان""}",65,كرمان,1
17,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""گيلان""}",66,گيلان,1
18,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""همدان""}",67,همدان,1
19,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""بوشهر""}",68,بوشهر,1
20,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""اردبيل""}",69,اردبيل,1
21,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""مركزي""}",70,مركزي,1
22,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""قزوين""}",71,قزوين,1
23,2026-06-12 23:33:09.301419+00,2026-06-12 23:33:09.301419+00,,"{""fa"":""كهكيلويه و بوير احمد""}",72,كهكيلويه و بوير احمد,1
