id,created_at,updated_at,slug,translation,sana_id,sana_name
1,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""نامشخص""}",1,نامشخص
2,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""تحقیق""}",2,تحقیق
3,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""زيارت""}",3,زيارت
4,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""ماموريت""}",4,ماموريت
5,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""تجارت""}",5,تجارت
6,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""خرید کالا و موارد اولیه""}",6,خرید کالا و موارد اولیه
7,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""تدريس""}",7,تدريس
8,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""تحصيل""}",8,تحصيل
9,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""معالجه""}",9,معالجه
10,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""ديدوبازديد""}",10,ديدوبازديد
11,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""نمايشگاه""}",11,نمايشگاه
12,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""مسابقات ورزشي""}",12,مسابقات ورزشي
13,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""گردشگري و جهانگردي""}",13,گردشگري و جهانگردي
14,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""سمينار و کنفرانس و اجلاس""}",14,سمينار و کنفرانس و اجلاس
15,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""آزمون""}",15,آزمون
16,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""ازدواج""}",16,ازدواج
17,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""ديپلماتيک""}",17,ديپلماتيک
18,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""کاراداري""}",18,کاراداري
19,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""کارشخصي""}",19,کارشخصي
20,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""عبوري""}",20,عبوري
21,2026-06-12 23:33:08.875942+00,2026-06-12 23:33:08.875942+00,,"{""fa"":""نقل مکان""}",21,نقل مکان
